bear,year,day,juliandate,GMT.Date,hour,minutes,GMT.Time,Latitude,Longitude
33490,16,134,16134,13.05.2016,14,:00,14:00:00,30.88841,-88.09458
33490,16,134,16134,13.05.2016,15,:00,15:00:00,30.88797,-88.09458
33490,16,134,16134,13.05.2016,16,:01,16:01:00,30.88779,-88.09344
33490,16,134,16134,13.05.2016,17,:00,17:00:00,30.88783,-88.09334
33490,16,134,16134,13.05.2016,18,:01,18:01:00,30.8879,-88.09355
33490,16,134,16134,13.05.2016,19,:01,19:01:00,30.88774,-88.09332
33490,16,134,16134,13.05.2016,20,:00,20:00:00,30.8877,-88.09339
33490,16,134,16134,13.05.2016,21,:01,21:01:00,30.88775,-88.09337
33490,16,134,16134,13.05.2016,22,:00,22:00:00,30.88781,-88.09343
33490,16,134,16134,13.05.2016,23,:00,23:00:00,30.88787,-88.09337
33490,16,135,16135,14.05.2016,0,:01,0:01:00,30.88776,-88.09333
33490,16,135,16135,14.05.2016,1,:01,1:01:00,30.88769,-88.09337
33490,16,135,16135,14.05.2016,2,:00,2:00:00,30.88771,-88.09339
33490,16,135,16135,14.05.2016,3,:00,3:00:00,30.88775,-88.09329
33490,16,135,16135,14.05.2016,4,:00,4:00:00,30.8877,-88.09333
33490,16,135,16135,14.05.2016,5,:00,5:00:00,30.88773,-88.09349
33490,16,135,16135,14.05.2016,6,:01,6:01:00,30.88776,-88.09341
33490,16,135,16135,14.05.2016,7,:00,7:00:00,30.88771,-88.09336
33490,16,135,16135,14.05.2016,8,:00,8:00:00,30.88909,-88.09378
33490,16,135,16135,14.05.2016,9,:01,9:01:00,30.88782,-88.09757
33490,16,135,16135,14.05.2016,10,:01,10:01:00,30.88469,-88.09763
33490,16,135,16135,14.05.2016,11,:01,11:01:00,30.88485,-88.10336
33490,16,135,16135,14.05.2016,13,:01,13:01:00,30.88478,-88.10343
33490,16,135,16135,14.05.2016,14,:01,14:01:00,30.88453,-88.10345
33490,16,135,16135,14.05.2016,15,:01,15:01:00,30.88476,-88.10346
33490,16,135,16135,14.05.2016,18,:01,18:01:00,30.88513,-88.10329
33490,16,135,16135,14.05.2016,19,:03,19:03:00,30.88531,-88.10322
33490,16,135,16135,14.05.2016,20,:01,20:01:00,30.88418,-88.10314
33490,16,135,16135,14.05.2016,21,:00,21:00:00,30.88423,-88.10317
33490,16,135,16135,14.05.2016,22,:01,22:01:00,30.88416,-88.10331
33490,16,135,16135,14.05.2016,23,:01,23:01:00,30.88438,-88.10327
33490,16,136,16136,15.05.2016,0,:03,0:03:00,30.88418,-88.10317
33490,16,136,16136,15.05.2016,3,:01,3:01:00,30.88416,-88.10314
33490,16,136,16136,15.05.2016,4,:00,4:00:00,30.88394,-88.10331
33490,16,136,16136,15.05.2016,5,:03,5:03:00,30.88413,-88.10214
33490,16,136,16136,15.05.2016,6,:00,6:00:00,30.88279,-88.09789
33490,16,136,16136,15.05.2016,7,:00,7:00:00,30.88542,-88.10283
33490,16,136,16136,15.05.2016,8,:01,8:01:00,30.88696,-88.10433
33490,16,136,16136,15.05.2016,9,:00,9:00:00,30.88448,-88.10864
33490,16,136,16136,15.05.2016,10,:00,10:00:00,30.88597,-88.11013
33490,16,136,16136,15.05.2016,11,:00,11:00:00,30.88939,-88.11132
33490,16,136,16136,15.05.2016,12,:00,12:00:00,30.88476,-88.10337
33490,16,136,16136,15.05.2016,12,:01,12:01:00,30.88942,-88.11128
33490,16,136,16136,15.05.2016,13,:03,13:03:00,30.88947,-88.11132
33490,16,136,16136,15.05.2016,15,:01,15:01:00,30.88946,-88.11132
33490,16,136,16136,15.05.2016,16,:02,16:02:00,30.88953,-88.11135
33490,16,136,16136,15.05.2016,17,:00,17:00:00,30.88969,-88.11141
33490,16,136,16136,15.05.2016,18,:01,18:01:00,30.89045,-88.10613
33490,16,136,16136,15.05.2016,19,:01,19:01:00,30.8886,-88.10328
33490,16,136,16136,15.05.2016,20,:01,20:01:00,30.88912,-88.10331
33490,16,136,16136,15.05.2016,21,:01,21:01:00,30.88901,-88.10321
33490,16,136,16136,15.05.2016,22,:01,22:01:00,30.88898,-88.10321
33490,16,137,16137,16.05.2016,0,:02,0:02:00,30.88904,-88.103
33490,16,137,16137,16.05.2016,1,:02,1:02:00,30.88908,-88.10314
33490,16,137,16137,16.05.2016,2,:01,2:01:00,30.88895,-88.10311
33490,16,137,16137,16.05.2016,3,:01,3:01:00,30.88882,-88.10321
33490,16,137,16137,16.05.2016,6,:01,6:01:00,30.88898,-88.10322
33490,16,137,16137,16.05.2016,7,:00,7:00:00,30.8887,-88.10305
33490,16,137,16137,16.05.2016,8,:00,8:00:00,30.88654,-88.09942
33490,16,137,16137,16.05.2016,9,:00,9:00:00,30.88087,-88.09563
33490,16,137,16137,16.05.2016,10,:00,10:00:00,30.87724,-88.09273
33490,16,137,16137,16.05.2016,11,:02,11:02:00,30.87632,-88.09141
33490,16,137,16137,16.05.2016,12,:02,12:02:00,30.87642,-88.0914
33490,16,137,16137,16.05.2016,13,:01,13:01:00,30.87653,-88.09118
33490,16,137,16137,16.05.2016,14,:00,14:00:00,30.87619,-88.08782
33490,16,137,16137,16.05.2016,15,:00,15:00:00,30.87607,-88.08875
33490,16,137,16137,16.05.2016,17,:00,17:00:00,30.87762,-88.08918
