bear,GMT.Date,GMT.Time,Latitude,Longitude
33488,10.08.2016,15:04:00,30.90264,-88.05017
33488,10.08.2016,16:04:00,30.89863,-88.04991
33488,10.08.2016,17:04:00,30.89887,-88.049
33488,10.08.2016,18:04:00,30.89873,-88.04886
33488,10.08.2016,19:04:00,30.90101,-88.05329
33488,10.08.2016,20:04:00,30.90199,-88.05476
33488,10.08.2016,21:04:00,30.90187,-88.05475
33488,10.08.2016,22:04:00,30.90517,-88.05556
33488,11.08.2016,1:04:00,30.90515,-88.05539
33488,11.08.2016,2:04:00,30.90578,-88.0558
33488,11.08.2016,3:04:00,30.90942,-88.05859
33488,11.08.2016,4:04:00,30.90949,-88.05867
33488,11.08.2016,5:04:00,30.90946,-88.05867
33488,11.08.2016,6:04:00,30.90939,-88.05912
33488,11.08.2016,7:04:00,30.91056,-88.05764
33488,11.08.2016,8:04:00,30.91256,-88.05738
33488,11.08.2016,9:04:00,30.91272,-88.05578
33488,11.08.2016,10:04:00,30.91356,-88.0526
33488,11.08.2016,11:04:00,30.91368,-88.05277
33488,11.08.2016,12:04:00,30.91367,-88.0528
33488,11.08.2016,13:04:00,30.91292,-88.05123
33488,11.08.2016,14:04:00,30.91479,-88.05053
33488,11.08.2016,15:04:00,30.91468,-88.05076
33488,11.08.2016,16:04:00,30.91468,-88.05084
33488,11.08.2016,17:04:00,30.91466,-88.05093
33488,11.08.2016,18:04:00,30.915,-88.05205
33488,11.08.2016,19:04:00,30.91449,-88.05184
33488,11.08.2016,20:04:00,30.91175,-88.04865
33488,11.08.2016,21:04:00,30.91083,-88.04736
33488,11.08.2016,22:04:00,30.90899,-88.04878
33488,12.08.2016,1:03:00,30.90783,-88.04907
33488,12.08.2016,2:03:00,30.90732,-88.04936
33488,12.08.2016,3:03:00,30.90739,-88.04911
33488,12.08.2016,4:03:00,30.90731,-88.04909
33488,12.08.2016,5:03:00,30.90731,-88.04911
33488,12.08.2016,6:03:00,30.90708,-88.0495
33488,12.08.2016,7:03:00,30.90724,-88.0486
33488,12.08.2016,8:03:00,30.90715,-88.04856
33488,12.08.2016,9:03:00,30.90485,-88.0502
33488,12.08.2016,10:03:00,30.90483,-88.0502
33488,12.08.2016,11:03:00,30.90501,-88.05013
33488,12.08.2016,12:03:00,30.90239,-88.04969
33488,12.08.2016,13:03:00,30.89869,-88.04966
33488,12.08.2016,14:03:00,30.89906,-88.04928
33488,12.08.2016,15:03:00,30.89896,-88.04891
33488,12.08.2016,16:03:00,30.899,-88.04922
33488,12.08.2016,17:03:00,30.89923,-88.04943
33488,12.08.2016,18:03:00,30.89907,-88.04925
33488,12.08.2016,19:03:00,30.89906,-88.04929
33488,12.08.2016,20:03:00,30.89953,-88.04753
