bear,GMT.Date,GMT.Time,Latitude,Longitude
33487,23.06.2016,0:01:00,30.88317,-88.08063
33487,23.06.2016,1:01:00,30.88321,-88.08058
33487,23.06.2016,2:00:00,30.8832,-88.08063
33487,23.06.2016,3:00:00,30.8832,-88.08068
33487,23.06.2016,4:00:00,30.8832,-88.08061
33487,23.06.2016,5:00:00,30.88313,-88.08054
33487,23.06.2016,6:00:00,30.88315,-88.0806
33487,23.06.2016,7:00:00,30.88309,-88.08074
33487,23.06.2016,8:00:00,30.88301,-88.07982
33487,23.06.2016,9:00:00,30.87903,-88.07491
33487,23.06.2016,10:01:00,30.87199,-88.07753
33487,23.06.2016,11:00:00,30.86493,-88.0852
33487,23.06.2016,12:01:00,30.86514,-88.08362
33487,23.06.2016,13:00:00,30.86685,-88.08162
33487,23.06.2016,14:00:00,30.86705,-88.08201
33487,23.06.2016,15:00:00,30.86701,-88.08195
33487,23.06.2016,16:00:00,30.87383,-88.08463
33487,23.06.2016,17:00:00,30.87384,-88.08456
33487,23.06.2016,18:00:00,30.87396,-88.08541
33487,23.06.2016,19:00:00,30.87402,-88.08482
33487,23.06.2016,20:00:00,30.87407,-88.0848
33487,23.06.2016,21:00:00,30.87397,-88.08473
33487,23.06.2016,22:01:00,30.87414,-88.08479
33487,23.06.2016,23:00:00,30.87411,-88.08475
33487,25.06.2016,0:01:00,30.87408,-88.0848
33487,25.06.2016,1:00:00,30.87428,-88.08675
33487,25.06.2016,2:00:00,30.8732,-88.07901
33487,25.06.2016,3:00:00,30.87325,-88.07901
33487,25.06.2016,4:00:00,30.8731,-88.07913
33487,25.06.2016,5:00:00,30.87311,-88.07904
33487,25.06.2016,6:00:00,30.87326,-88.07904
33487,25.06.2016,7:00:00,30.87335,-88.07896
33487,25.06.2016,8:00:00,30.87338,-88.08016
33487,25.06.2016,9:00:00,30.88498,-88.07935
33487,25.06.2016,10:01:00,30.88673,-88.08038
33487,25.06.2016,11:00:00,30.88675,-88.08035
33487,25.06.2016,12:01:00,30.88677,-88.08032
33487,25.06.2016,13:00:00,30.88683,-88.08031
33487,25.06.2016,14:00:00,30.88682,-88.08042
33487,25.06.2016,15:00:00,30.88245,-88.08043
33487,25.06.2016,16:00:00,30.88138,-88.0832
33487,25.06.2016,17:00:00,30.8813,-88.08316
33487,25.06.2016,18:01:00,30.88134,-88.08322
33487,25.06.2016,19:00:00,30.8818,-88.08284
33487,25.06.2016,20:00:00,30.88129,-88.08325
33487,25.06.2016,21:00:00,30.88394,-88.08149
33487,26.06.2016,0:01:00,30.88493,-88.07753
33487,26.06.2016,1:00:00,30.88863,-88.07865
33487,26.06.2016,2:00:00,30.88942,-88.07169
33487,26.06.2016,3:00:00,30.88879,-88.07418
33487,26.06.2016,4:00:00,30.88882,-88.07421
33487,26.06.2016,5:00:00,30.88883,-88.07416
33487,26.06.2016,6:00:00,30.88875,-88.0742
33487,26.06.2016,7:00:00,30.892,-88.07295
33487,26.06.2016,8:00:00,30.90056,-88.07648
33487,26.06.2016,9:00:00,30.90301,-88.07907
33487,26.06.2016,10:01:00,30.89743,-88.0784
33487,26.06.2016,11:00:00,30.89944,-88.07435
33487,26.06.2016,12:01:00,30.89955,-88.0743
33487,26.06.2016,13:00:00,30.89952,-88.07435
33487,26.06.2016,14:00:00,30.89944,-88.07431
33487,26.06.2016,15:03:00,30.89942,-88.07427
33487,26.06.2016,16:02:00,30.89945,-88.07443
33487,26.06.2016,17:01:00,30.90136,-88.07825
33487,26.06.2016,18:00:00,30.89682,-88.07492
33487,26.06.2016,19:00:00,30.89039,-88.07582
33487,26.06.2016,20:00:00,30.88993,-88.07593
33487,26.06.2016,21:01:00,30.89115,-88.07762
33487,28.06.2016,0:01:00,30.8901,-88.07708
33487,28.06.2016,1:00:00,30.89047,-88.07666
33487,28.06.2016,2:00:00,30.89048,-88.07701
33487,28.06.2016,3:00:00,30.88905,-88.07683
33487,28.06.2016,4:00:00,30.88949,-88.07669
33487,28.06.2016,5:00:00,30.88977,-88.07652
33487,28.06.2016,6:00:00,30.88955,-88.07613
33487,28.06.2016,7:00:00,30.88882,-88.07479
