bear,year,day,juliandate,GMT.Date,hour,minutes,GMT.Time,Latitude,Longitude
33493,16,244,16244,31.08.2016,1,:19,1:19:00,31.40938,-88.30255
33493,16,244,16244,31.08.2016,2,:19,2:19:00,31.40937,-88.30267
33493,16,244,16244,31.08.2016,3,:19,3:19:00,31.40943,-88.30263
33493,16,244,16244,31.08.2016,4,:19,4:19:00,31.4094,-88.30267
33493,16,244,16244,31.08.2016,5,:19,5:19:00,31.40935,-88.30263
33493,16,244,16244,31.08.2016,6,:19,6:19:00,31.40979,-88.30173
33493,16,244,16244,31.08.2016,7,:19,7:19:00,31.40778,-88.29689
33493,16,244,16244,31.08.2016,8,:19,8:19:00,31.40691,-88.29508
33493,16,244,16244,31.08.2016,9,:19,9:19:00,31.40691,-88.29505
33493,16,244,16244,31.08.2016,10,:19,10:19:00,31.40697,-88.29515
33493,16,244,16244,31.08.2016,11,:19,11:19:00,31.40686,-88.29501
33493,16,244,16244,31.08.2016,12,:19,12:19:00,31.40689,-88.29501
33493,16,244,16244,31.08.2016,13,:19,13:19:00,31.40693,-88.29502
33493,16,244,16244,31.08.2016,14,:19,14:19:00,31.40692,-88.29513
33493,16,244,16244,31.08.2016,15,:19,15:19:00,31.40678,-88.29505
33493,16,244,16244,31.08.2016,16,:19,16:19:00,31.40685,-88.29507
33493,16,244,16244,31.08.2016,17,:19,17:19:00,31.40686,-88.28108
33493,16,244,16244,31.08.2016,18,:19,18:19:00,31.39566,-88.27304
33493,16,244,16244,31.08.2016,19,:19,19:19:00,31.39548,-88.25419
33493,16,244,16244,31.08.2016,20,:19,20:19:00,31.39554,-88.25415
33493,16,244,16244,31.08.2016,21,:19,21:19:00,31.39542,-88.25408
33493,16,244,16244,31.08.2016,22,:19,22:19:00,31.39536,-88.2542
33493,16,245,16245,01.09.1916,1,:00,1:00:00,31.39536,-88.25406
33493,16,245,16245,01.09.2016,2,:00,2:00:00,31.39543,-88.25413
33493,16,245,16245,01.09.2016,3,:00,3:00:00,31.39543,-88.25412
33493,16,245,16245,01.09.2016,4,:00,4:00:00,31.39542,-88.25412
33493,16,245,16245,01.09.2016,5,:00,5:00:00,31.3994,-88.24635
33493,16,245,16245,01.09.2016,6,:00,6:00:00,31.40338,-88.23645
33493,16,245,16245,01.09.2016,7,:00,7:00:00,31.40019,-88.22508
33493,16,245,16245,01.09.2016,8,:00,8:00:00,31.40043,-88.22509
33493,16,245,16245,01.09.2016,9,:00,9:00:00,31.39995,-88.225
33493,16,245,16245,01.09.2016,10,:00,10:00:00,31.39997,-88.2249
33493,16,245,16245,01.09.2016,11,:00,11:00:00,31.39983,-88.22493
33493,16,245,16245,01.09.2016,12,:00,12:00:00,31.39991,-88.22465
33493,16,245,16245,01.09.2016,13,:00,13:00:00,31.40172,-88.22601
33493,16,245,16245,01.09.2016,14,:00,14:00:00,31.4034,-88.23597
33493,16,245,16245,01.09.2016,15,:00,15:00:00,31.40355,-88.23654
33493,16,245,16245,01.09.2016,16,:00,16:00:00,31.40355,-88.23596
33493,16,245,16245,01.09.2016,17,:00,17:00:00,31.4036,-88.23634
33493,16,245,16245,01.09.2016,18,:00,18:00:00,31.4036,-88.23635
33493,16,245,16245,01.09.2016,19,:00,19:00:00,31.40367,-88.23645
33493,16,245,16245,01.09.2016,20,:00,20:00:00,31.4033,-88.23641
33493,16,245,16245,01.09.2016,21,:00,21:00:00,31.40389,-88.23628
33493,16,245,16245,01.09.2016,22,:00,22:00:00,31.404,-88.23632
33493,16,246,16246,02.09.2016,1,:03,1:03:00,31.40357,-88.23613
33493,16,246,16246,02.09.2016,2,:03,2:03:00,31.40844,-88.22401
33493,16,246,16246,02.09.2016,3,:03,3:03:00,31.41538,-88.21176
33493,16,247,16247,03.09.2016,1,:10,1:10:00,31.42199,-88.20332
33493,16,247,16247,03.09.2016,2,:10,2:10:00,31.42197,-88.20333
33493,16,247,16247,03.09.2016,3,:10,3:10:00,31.42203,-88.2034
33493,16,247,16247,03.09.2016,4,:10,4:10:00,31.42196,-88.2033
33493,16,247,16247,03.09.2016,5,:10,5:10:00,31.42197,-88.20335
33493,16,247,16247,03.09.2016,6,:10,6:10:00,31.42171,-88.20234
33493,16,247,16247,03.09.2016,7,:10,7:10:00,31.42609,-88.19697
33493,16,247,16247,03.09.2016,8,:10,8:10:00,31.43241,-88.1848
33493,16,247,16247,03.09.2016,9,:10,9:10:00,31.43865,-88.17076
33493,16,247,16247,03.09.2016,10,:10,10:10:00,31.44079,-88.1654
33493,16,247,16247,03.09.2016,11,:10,11:10:00,31.44006,-88.16415
33493,16,247,16247,03.09.2016,12,:10,12:10:00,31.43985,-88.16467
33493,16,247,16247,03.09.2016,13,:10,13:10:00,31.44101,-88.16251
33493,16,247,16247,03.09.2016,14,:10,14:10:00,31.44006,-88.16099
33493,16,247,16247,03.09.2016,15,:10,15:10:00,31.44027,-88.16105
33493,16,247,16247,03.09.2016,16,:10,16:10:00,31.4403,-88.16188
33493,16,247,16247,03.09.2016,17,:10,17:10:00,31.44459,-88.17694
33493,16,247,16247,03.09.2016,18,:10,18:10:00,31.43538,-88.19133
