bear,year,day,julinaday,GMT.Date,hour,minutes,GMT.Time,Latitude,Longitude
33505,15,291,15291,18.10.2015,1,:01,1:01:00,31.43035,-88.19371
33505,15,291,15291,18.10.2015,2,:00,2:00:00,31.43008,-88.19369
33505,15,291,15291,18.10.2015,3,:00,3:00:00,31.42637,-88.19799
33505,15,291,15291,18.10.2015,7,:01,7:01:00,31.4259,-88.19816
33505,15,291,15291,18.10.2015,8,:03,8:03:00,31.42606,-88.19818
33505,15,291,15291,18.10.2015,10,:01,10:01:00,31.42612,-88.19818
33505,15,291,15291,18.10.2015,11,:03,11:03:00,31.42608,-88.19816
33505,15,291,15291,18.10.2015,12,:01,12:01:00,31.42609,-88.19814
33505,15,291,15291,18.10.2015,17,:01,17:01:00,31.43043,-88.19375
33505,15,291,15291,18.10.2015,18,:01,18:01:00,31.42993,-88.19187
33505,15,291,15291,18.10.2015,20,:01,20:01:00,31.42853,-88.19109
33505,15,291,15291,18.10.2015,21,:00,21:00:00,31.42858,-88.19113
33505,15,291,15291,18.10.2015,22,:00,22:00:00,31.42807,-88.19134
33505,15,291,15291,18.10.2015,23,:00,23:00:00,31.42695,-88.19223
33505,15,292,15292,19.10.2015,0,:00,0:00:00,31.42925,-88.19264
33505,15,292,15292,19.10.2015,1,:01,1:01:00,31.42861,-88.19365
33505,15,292,15292,19.10.2015,2,:03,2:03:00,31.42761,-88.19237
33505,15,292,15292,19.10.2015,3,:00,3:00:00,31.427,-88.19301
33505,15,292,15292,19.10.2015,4,:02,4:02:00,31.42636,-88.19763
33505,15,292,15292,19.10.2015,5,:00,5:00:00,31.42629,-88.19768
33505,15,292,15292,19.10.2015,6,:00,6:00:00,31.42632,-88.19778
33505,15,292,15292,19.10.2015,7,:00,7:00:00,31.42667,-88.1976
33505,15,292,15292,19.10.2015,8,:01,8:01:00,31.42676,-88.19774
33505,15,292,15292,19.10.2015,9,:03,9:03:00,31.42627,-88.198
33505,15,292,15292,19.10.2015,12,:01,12:01:00,31.42551,-88.19824
33505,15,292,15292,19.10.2015,13,:00,13:00:00,31.42608,-88.1982
33505,15,292,15292,19.10.2015,13,:02,13:02:00,31.42559,-88.19828
33505,15,292,15292,19.10.2015,14,:02,14:02:00,31.4261,-88.19813
33505,15,292,15292,19.10.2015,16,:01,16:01:00,31.42922,-88.19608
33505,15,292,15292,19.10.2015,16,:04,16:04:00,31.42297,-88.19611
33505,15,292,15292,19.10.2015,18,:02,18:02:00,31.42121,-88.20449
33505,15,292,15292,19.10.2015,19,:02,19:02:00,31.42193,-88.21138
33505,15,292,15292,19.10.2015,20,:01,20:01:00,31.41652,-88.21904
33505,15,292,15292,19.10.2015,21,:01,21:01:00,31.41692,-88.21918
33505,15,292,15292,19.10.2015,22,:01,22:01:00,31.41744,-88.2199
33505,15,292,15292,19.10.2015,23,:00,23:00:00,31.41275,-88.21598
33505,15,293,15293,20.10.2015,0,:01,0:01:00,31.40263,-88.22035
33505,15,293,15293,20.10.2015,1,:00,1:00:00,31.40129,-88.21787
33505,15,293,15293,20.10.2015,2,:00,2:00:00,31.40152,-88.21775
33505,15,293,15293,20.10.2015,3,:00,3:00:00,31.40137,-88.21788
33505,15,293,15293,20.10.2015,4,:00,4:00:00,31.40202,-88.22206
33505,15,293,15293,20.10.2015,5,:00,5:00:00,31.40502,-88.22536
33505,15,293,15293,20.10.2015,6,:00,6:00:00,31.40505,-88.22537
33505,15,293,15293,20.10.2015,8,:00,8:00:00,31.40514,-88.22537
33505,15,293,15293,20.10.2015,9,:02,9:02:00,31.40524,-88.22544
33505,15,293,15293,20.10.2015,10,:00,10:00:00,31.40528,-88.2255
33505,15,293,15293,20.10.2015,12,:01,12:01:00,31.40504,-88.22547
33505,15,293,15293,20.10.2015,13,:00,13:00:00,31.40505,-88.22528
33505,15,293,15293,20.10.2015,15,:01,15:01:00,31.40506,-88.22537
33505,15,293,15293,20.10.2015,16,:00,16:00:00,31.40289,-88.22522
33505,15,293,15293,20.10.2015,17,:00,17:00:00,31.40134,-88.21793
33505,15,293,15293,20.10.2015,17,:02,17:02:00,31.42016,-88.19654
33505,15,293,15293,20.10.2015,18,:00,18:00:00,31.40147,-88.2181
33505,15,293,15293,20.10.2015,19,:00,19:00:00,31.40135,-88.21815
33505,15,293,15293,20.10.2015,20,:02,20:02:00,31.40121,-88.21814
33505,15,293,15293,20.10.2015,21,:00,21:00:00,31.40135,-88.21794
33505,15,293,15293,20.10.2015,22,:00,22:00:00,31.40265,-88.22054
33505,15,293,15293,20.10.2015,23,:03,23:03:00,31.39978,-88.22192
33505,15,294,15294,21.10.2015,0,:00,0:00:00,31.3942,-88.2261
33505,15,294,15294,21.10.2015,3,:01,3:01:00,31.39415,-88.22676
33505,15,294,15294,21.10.2015,4,:00,4:00:00,31.39414,-88.22676
33505,15,294,15294,21.10.2015,5,:00,5:00:00,31.38857,-88.23128
33505,15,294,15294,21.10.2015,6,:01,6:01:00,31.3926,-88.22689
33505,15,294,15294,21.10.2015,7,:01,7:01:00,31.39355,-88.22654
33505,15,294,15294,21.10.2015,10,:03,10:03:00,31.39355,-88.22642
33505,15,294,15294,21.10.2015,12,:01,12:01:00,31.39366,-88.22653
33505,15,294,15294,21.10.2015,15,:01,15:01:00,31.3942,-88.22611
33505,15,294,15294,21.10.2015,16,:00,16:00:00,31.39379,-88.22885
33505,15,294,15294,21.10.2015,17,:03,17:03:00,31.38773,-88.22127
33505,15,294,15294,21.10.2015,18,:00,18:00:00,31.384,-88.22404
33505,15,294,15294,21.10.2015,20,:01,20:01:00,31.38475,-88.22687
33505,15,294,15294,21.10.2015,21,:00,21:00:00,31.38484,-88.22682
33505,15,294,15294,21.10.2015,22,:00,22:00:00,31.3849,-88.22676
33505,15,294,15294,21.10.2015,23,:00,23:00:00,31.38694,-88.23227
33505,15,295,15295,22.10.2015,0,:01,0:01:00,31.38692,-88.24069
33505,15,295,15295,22.10.2015,1,:01,1:01:00,31.38506,-88.24423
33505,15,295,15295,22.10.2015,2,:02,2:02:00,31.38111,-88.24724
33505,15,295,15295,22.10.2015,3,:00,3:00:00,31.38994,-88.26293
33505,15,295,15295,22.10.2015,4,:01,4:01:00,31.40281,-88.26942
33505,15,295,15295,22.10.2015,5,:00,5:00:00,31.40967,-88.27511
33505,15,295,15295,22.10.2015,6,:00,6:00:00,31.41255,-88.26354
33505,15,295,15295,22.10.2015,7,:00,7:00:00,31.41258,-88.26354
33505,15,295,15295,22.10.2015,8,:00,8:00:00,31.41256,-88.26361
33505,15,295,15295,22.10.2015,9,:00,9:00:00,31.41287,-88.26388
33505,15,295,15295,22.10.2015,10,:02,10:02:00,31.41255,-88.26351
33505,15,295,15295,22.10.2015,11,:00,11:00:00,31.41256,-88.26351
33505,15,295,15295,22.10.2015,12,:01,12:01:00,31.41253,-88.26356
33505,15,295,15295,22.10.2015,13,:02,13:02:00,31.41249,-88.2635
33505,15,295,15295,22.10.2015,14,:01,14:01:00,31.41244,-88.2634
33505,15,295,15295,22.10.2015,15,:00,15:00:00,31.41121,-88.26284
33505,15,295,15295,22.10.2015,16,:01,16:01:00,31.40665,-88.26782
33505,15,295,15295,22.10.2015,18,:01,18:01:00,31.39559,-88.27801
33505,15,295,15295,22.10.2015,19,:01,19:01:00,31.38632,-88.27333
33505,15,295,15295,22.10.2015,20,:03,20:03:00,31.37657,-88.2741
33505,15,295,15295,22.10.2015,21,:03,21:03:00,31.36456,-88.2824
33505,15,295,15295,22.10.2015,22,:03,22:03:00,31.35818,-88.26918
33505,15,295,15295,22.10.2015,23,:01,23:01:00,31.35712,-88.2687
33505,15,296,15296,23.10.2015,0,:00,0:00:00,31.35675,-88.2675
33505,15,296,15296,23.10.2015,1,:00,1:00:00,31.36473,-88.25632
33505,15,296,15296,23.10.2015,2,:03,2:03:00,31.36466,-88.25633
33505,15,296,15296,23.10.2015,6,:02,6:02:00,31.36466,-88.25629
33505,15,296,15296,23.10.2015,7,:02,7:02:00,31.36512,-88.25604
33505,15,296,15296,23.10.2015,9,:01,9:01:00,31.36503,-88.25605
33505,15,296,15296,23.10.2015,10,:03,10:03:00,31.36498,-88.25598
33505,15,296,15296,23.10.2015,11,:01,11:01:00,31.36511,-88.25604
33505,15,296,15296,23.10.2015,15,:03,15:03:00,31.36648,-88.25587
33505,15,296,15296,23.10.2015,16,:00,16:00:00,31.36944,-88.25508
33505,15,296,15296,23.10.2015,17,:03,17:03:00,31.37887,-88.24626
33505,15,296,15296,23.10.2015,18,:01,18:01:00,31.38236,-88.24514
33505,15,296,15296,23.10.2015,19,:01,19:01:00,31.38783,-88.24175
33505,15,296,15296,23.10.2015,20,:00,20:00:00,31.3906,-88.23174
33505,15,296,15296,23.10.2015,21,:03,21:03:00,31.38459,-88.22551
33505,15,296,15296,23.10.2015,22,:00,22:00:00,31.38409,-88.22412
33505,15,296,15296,23.10.2015,23,:00,23:00:00,31.38477,-88.2239
33505,15,297,15297,24.10.2015,1,:01,1:01:00,31.38884,-88.22365
33505,15,297,15297,24.10.2015,2,:00,2:00:00,31.38879,-88.22376
33505,15,297,15297,24.10.2015,3,:01,3:01:00,31.38854,-88.22373
33505,15,297,15297,24.10.2015,4,:00,4:00:00,31.38408,-88.2243
33505,15,297,15297,24.10.2015,5,:02,5:02:00,31.38658,-88.22557
