bear,year,day,juliandate,GMT.Date,hour,minutes,GMT.Time,Latitude,Longitude
33495,15,266,15266,23.09.2015,14,:00,14:00:00,31.43111,-88.1858
33495,15,266,15266,23.09.2015,15,:01,15:01:00,31.43119,-88.18584
33495,15,266,15266,23.09.2015,17,:02,17:02:00,31.43117,-88.18589
33495,15,266,15266,23.09.2015,19,:00,19:00:00,31.43103,-88.18561
33495,15,266,15266,23.09.2015,20,:00,20:00:00,31.43109,-88.18577
33495,15,266,15266,23.09.2015,23,:01,23:01:00,31.43125,-88.18527
33495,15,267,15267,24.09.2015,0,:00,0:00:00,31.43104,-88.18088
33495,15,267,15267,24.09.2015,1,:00,1:00:00,31.43856,-88.18045
33495,15,267,15267,24.09.2015,5,:02,5:02:00,31.44066,-88.1847
33495,15,267,15267,24.09.2015,7,:03,7:03:00,31.42887,-88.20197
33495,15,267,15267,24.09.2015,8,:02,8:02:00,31.41752,-88.19953
33495,15,267,15267,24.09.2015,10,:02,10:02:00,31.41304,-88.21576
33495,15,267,15267,24.09.2015,11,:02,11:02:00,31.41269,-88.21665
33495,15,267,15267,24.09.2015,15,:01,15:01:00,31.41281,-88.21614
33495,15,267,15267,24.09.2015,16,:01,16:01:00,31.41282,-88.21626
33495,15,267,15267,24.09.2015,17,:00,17:00:00,31.4128,-88.21644
33495,15,267,15267,24.09.2015,18,:01,18:01:00,31.41282,-88.21626
33495,15,267,15267,24.09.2015,19,:00,19:00:00,31.41246,-88.21582
33495,15,267,15267,24.09.2015,20,:03,20:03:00,31.41256,-88.21591
33495,15,267,15267,24.09.2015,21,:00,21:00:00,31.41248,-88.21582
33495,15,267,15267,24.09.2015,22,:00,22:00:00,31.41254,-88.21597
33495,15,268,15268,25.09.2015,0,:00,0:00:00,31.41276,-88.21591
33495,15,268,15268,25.09.2015,1,:01,1:01:00,31.41275,-88.21611
33495,15,268,15268,25.09.2015,2,:00,2:00:00,31.41274,-88.21623
33495,15,268,15268,25.09.2015,3,:00,3:00:00,31.41267,-88.21616
33495,15,268,15268,25.09.2015,4,:02,4:02:00,31.41278,-88.21607
33495,15,268,15268,25.09.2015,5,:01,5:01:00,31.4127,-88.21609
33495,15,268,15268,25.09.2015,6,:00,6:00:00,31.41287,-88.2157
33495,15,268,15268,25.09.2015,7,:00,7:00:00,31.41272,-88.2162
33495,15,268,15268,25.09.2015,9,:03,9:03:00,31.41123,-88.2183
33495,15,268,15268,25.09.2015,12,:03,12:03:00,31.41097,-88.21823
33495,15,268,15268,25.09.2015,15,:03,15:03:00,31.41077,-88.21833
33495,15,268,15268,25.09.2015,16,:02,16:02:00,31.41079,-88.21829
33495,15,268,15268,25.09.2015,17,:01,17:01:00,31.41275,-88.21614
33495,15,268,15268,25.09.2015,19,:02,19:02:00,31.41275,-88.21612
33495,15,268,15268,25.09.2015,21,:01,21:01:00,31.41263,-88.21582
33495,15,268,15268,25.09.2015,22,:02,22:02:00,31.41274,-88.21587
33495,15,268,15268,25.09.2015,23,:00,23:00:00,31.41267,-88.21582
33495,15,269,15269,26.09.2015,0,:01,0:01:00,31.41279,-88.2162
33495,15,269,15269,26.09.2015,1,:01,1:01:00,31.41265,-88.21605
33495,15,269,15269,26.09.2015,2,:01,2:01:00,31.41233,-88.21563
33495,15,269,15269,26.09.2015,4,:01,4:01:00,31.41242,-88.21587
33495,15,269,15269,26.09.2015,6,:00,6:00:00,31.41276,-88.21623
33495,15,269,15269,26.09.2015,7,:00,7:00:00,31.41286,-88.21644
33495,15,269,15269,26.09.2015,8,:01,8:01:00,31.411,-88.21819
33495,15,269,15269,26.09.2015,12,:03,12:03:00,31.41095,-88.21821
33495,15,269,15269,26.09.2015,13,:02,13:02:00,31.41091,-88.21823
33495,15,269,15269,26.09.2015,14,:02,14:02:00,31.41089,-88.21813
33495,15,269,15269,26.09.2015,15,:02,15:02:00,31.41095,-88.21821
33495,15,269,15269,26.09.2015,17,:01,17:01:00,31.41273,-88.21623
33495,15,269,15269,26.09.2015,18,:01,18:01:00,31.41272,-88.21626
33495,15,269,15269,26.09.2015,19,:00,19:00:00,31.41243,-88.21586
33495,15,269,15269,26.09.2015,20,:00,20:00:00,31.41239,-88.21583
33495,15,269,15269,26.09.2015,21,:01,21:01:00,31.41239,-88.21603
33495,15,269,15269,26.09.2015,22,:00,22:00:00,31.41288,-88.2162
33495,15,270,15270,27.09.2015,0,:03,0:03:00,31.4082,-88.2293
33495,15,270,15270,27.09.2015,1,:01,1:01:00,31.40817,-88.22938
33495,15,270,15270,27.09.2015,5,:02,5:02:00,31.40457,-88.23319
33495,15,270,15270,27.09.2015,7,:01,7:01:00,31.39713,-88.23145
33495,15,270,15270,27.09.2015,8,:03,8:03:00,31.39365,-88.22667
33495,15,270,15270,27.09.2015,10,:03,10:03:00,31.39399,-88.22668
33495,15,270,15270,27.09.2015,12,:03,12:03:00,31.39382,-88.22676
33495,15,270,15270,27.09.2015,14,:01,14:01:00,31.3938,-88.22675
33495,15,270,15270,27.09.2015,15,:03,15:03:00,31.39388,-88.22676
33495,15,270,15270,27.09.2015,16,:00,16:00:00,31.39391,-88.22676
33495,15,270,15270,27.09.2015,20,:03,20:03:00,31.40443,-88.23245
33495,15,270,15270,27.09.2015,22,:02,22:02:00,31.40443,-88.23245
33495,15,271,15271,28.09.2015,0,:01,0:01:00,31.40493,-88.23147
33495,15,271,15271,28.09.2015,2,:01,2:01:00,31.40468,-88.23211
33495,15,271,15271,28.09.2015,3,:02,3:02:00,31.4048,-88.23141
33495,15,271,15271,28.09.2015,7,:02,7:02:00,31.39463,-88.24258
33495,15,271,15271,28.09.2015,10,:01,10:01:00,31.39467,-88.24253
33495,15,271,15271,28.09.2015,11,:01,11:01:00,31.3946,-88.2425
33495,15,271,15271,28.09.2015,13,:01,13:01:00,31.39454,-88.24253
33495,15,271,15271,28.09.2015,16,:01,16:01:00,31.39454,-88.24253
33495,15,271,15271,28.09.2015,18,:01,18:01:00,31.40512,-88.24164
33495,15,271,15271,28.09.2015,20,:02,20:02:00,31.40507,-88.24156
33495,15,271,15271,28.09.2015,21,:00,21:00:00,31.40496,-88.24141
33495,15,271,15271,28.09.2015,22,:02,22:02:00,31.4052,-88.24156
33495,15,271,15271,28.09.2015,23,:00,23:00:00,31.40427,-88.24232
