bear,year,day,juliandate,GMT.Date,hour,minutes,GMT.Time,Latitude,Longitude
33503,15,290,15290,17.10.2015,7,:00,7:00:00,31.4092,-88.27529
33503,15,290,15290,17.10.2015,8,:00,8:00:00,31.39962,-88.27221
33503,15,290,15290,17.10.2015,9,:03,9:03:00,31.41145,-88.26322
33503,15,290,15290,17.10.2015,10,:02,10:02:00,31.39919,-88.2619
33503,15,290,15290,17.10.2015,11,:01,11:01:00,31.39919,-88.2621
33503,15,290,15290,17.10.2015,13,:01,13:01:00,31.39925,-88.26216
33503,15,290,15290,17.10.2015,15,:03,15:03:00,31.39927,-88.26213
33503,15,290,15290,17.10.2015,16,:03,16:03:00,31.39914,-88.262
33503,15,290,15290,17.10.2015,17,:00,17:00:00,31.39739,-88.26464
33503,15,290,15290,17.10.2015,18,:00,18:00:00,31.39244,-88.2711
33503,15,290,15290,17.10.2015,19,:00,19:00:00,31.39556,-88.27815
33503,15,290,15290,17.10.2015,20,:01,20:01:00,31.40295,-88.27718
33503,15,290,15290,17.10.2015,21,:00,21:00:00,31.40925,-88.27567
33503,15,290,15290,17.10.2015,22,:00,22:00:00,31.40916,-88.27568
33503,15,290,15290,17.10.2015,23,:01,23:01:00,31.40916,-88.27551
33503,15,291,15291,18.10.2015,0,:00,0:00:00,31.40789,-88.2767
33503,15,291,15291,18.10.2015,1,:00,1:00:00,31.40801,-88.27699
33503,15,291,15291,18.10.2015,2,:00,2:00:00,31.40782,-88.2768
33503,15,291,15291,18.10.2015,3,:00,3:00:00,31.40783,-88.27678
33503,15,291,15291,18.10.2015,4,:00,4:00:00,31.40795,-88.27674
33503,15,291,15291,18.10.2015,5,:00,5:00:00,31.40784,-88.27674
33503,15,291,15291,18.10.2015,6,:00,6:00:00,31.40915,-88.27554
33503,15,291,15291,18.10.2015,7,:00,7:00:00,31.40924,-88.27552
33503,15,291,15291,18.10.2015,8,:01,8:01:00,31.40762,-88.27239
33503,15,291,15291,18.10.2015,11,:01,11:01:00,31.40753,-88.27239
33503,15,291,15291,18.10.2015,12,:01,12:01:00,31.40745,-88.27223
33503,15,291,15291,18.10.2015,13,:01,13:01:00,31.40715,-88.27223
33503,15,291,15291,18.10.2015,15,:01,15:01:00,31.4074,-88.27214
33503,15,291,15291,18.10.2015,16,:00,16:00:00,31.4092,-88.27547
33503,15,291,15291,18.10.2015,17,:00,17:00:00,31.40783,-88.27585
33503,15,291,15291,18.10.2015,18,:00,18:00:00,31.40918,-88.2755
33503,15,291,15291,18.10.2015,19,:00,19:00:00,31.40922,-88.27564
33503,15,291,15291,18.10.2015,20,:00,20:00:00,31.4078,-88.27671
33503,15,291,15291,18.10.2015,21,:03,21:03:00,31.40788,-88.27671
33503,15,291,15291,18.10.2015,22,:00,22:00:00,31.40781,-88.27684
33503,15,291,15291,18.10.2015,23,:00,23:00:00,31.40792,-88.27662
33503,15,292,15292,19.10.2015,0,:00,0:00:00,31.40937,-88.27557
33503,15,292,15292,19.10.2015,1,:00,1:00:00,31.40927,-88.27539
33503,15,292,15292,19.10.2015,2,:01,2:01:00,31.40859,-88.27554
33503,15,292,15292,19.10.2015,3,:00,3:00:00,31.40865,-88.2756
33503,15,292,15292,19.10.2015,5,:00,5:00:00,31.40925,-88.27536
