bear,year,day,juliandate,GMT.Date,hour,minutes,GMT.Time,Latitude,Longitude
33504,16,173,16173,21.06.2016,1,:01,1:01:00,30.9131,-88.04446
33504,16,173,16173,21.06.2016,2,:01,2:01:00,30.91447,-88.04541
33504,16,173,16173,21.06.2016,3,:01,3:01:00,30.91765,-88.06008
33504,16,173,16173,21.06.2016,4,:01,4:01:00,30.91674,-88.0668
33504,16,173,16173,21.06.2016,5,:01,5:01:00,30.91568,-88.06489
33504,16,173,16173,21.06.2016,6,:01,6:01:00,30.91675,-88.07242
33504,16,173,16173,21.06.2016,7,:01,7:01:00,30.91678,-88.07239
33504,16,173,16173,21.06.2016,8,:01,8:01:00,30.91683,-88.07241
33504,16,173,16173,21.06.2016,9,:01,9:01:00,30.91679,-88.07235
33504,16,173,16173,21.06.2016,10,:01,10:01:00,30.91669,-88.07225
33504,16,173,16173,21.06.2016,11,:01,11:01:00,30.91696,-88.07265
33504,16,173,16173,21.06.2016,12,:01,12:01:00,30.92405,-88.07444
33504,16,173,16173,21.06.2016,13,:01,13:01:00,30.92791,-88.07196
33504,16,173,16173,21.06.2016,14,:01,14:01:00,30.93652,-88.06794
33504,16,173,16173,21.06.2016,15,:01,15:01:00,30.91525,-88.0561
33504,16,173,16173,21.06.2016,16,:01,16:01:00,30.91442,-88.05551
33504,16,173,16173,21.06.2016,17,:01,17:01:00,30.91445,-88.05549
33504,16,173,16173,21.06.2016,18,:01,18:01:00,30.91445,-88.05553
33504,16,173,16173,21.06.2016,19,:01,19:01:00,30.91446,-88.05547
33504,16,173,16173,21.06.2016,20,:01,20:01:00,30.91446,-88.0555
33504,16,173,16173,21.06.2016,21,:01,21:01:00,30.91449,-88.05549
33504,16,173,16173,21.06.2016,22,:01,22:01:00,30.91457,-88.05532
33504,16,174,16174,22.06.2016,1,:01,1:01:00,30.91443,-88.05548
33504,16,174,16174,22.06.2016,2,:01,2:01:00,30.9113,-88.0607
33504,16,174,16174,22.06.2016,3,:01,3:01:00,30.9055,-88.05612
33504,16,174,16174,22.06.2016,4,:01,4:01:00,30.90713,-88.04882
33504,16,174,16174,22.06.2016,5,:01,5:01:00,30.90911,-88.04065
33504,16,174,16174,22.06.2016,6,:01,6:01:00,30.90962,-88.041
33504,16,174,16174,22.06.2016,7,:01,7:01:00,30.91233,-88.04182
33504,16,174,16174,22.06.2016,8,:01,8:01:00,30.91239,-88.04765
33504,16,174,16174,22.06.2016,9,:01,9:01:00,30.91241,-88.04776
33504,16,174,16174,22.06.2016,10,:01,10:01:00,30.91289,-88.04744
33504,16,174,16174,22.06.2016,11,:01,11:01:00,30.91373,-88.04496
33504,16,174,16174,22.06.2016,12,:01,12:01:00,30.90986,-88.04589
33504,16,174,16174,22.06.2016,13,:01,13:01:00,30.90766,-88.04632
33504,16,174,16174,22.06.2016,14,:01,14:01:00,30.9028,-88.04113
33504,16,174,16174,22.06.2016,15,:01,15:01:00,30.90267,-88.04142
33504,16,174,16174,22.06.2016,16,:01,16:01:00,30.90266,-88.04239
33504,16,174,16174,22.06.2016,17,:01,17:01:00,30.90275,-88.04235
33504,16,174,16174,22.06.2016,18,:01,18:01:00,30.90283,-88.04245
33504,16,174,16174,22.06.2016,19,:01,19:01:00,30.90278,-88.04235
33504,16,174,16174,22.06.2016,20,:01,20:01:00,30.90274,-88.0423
